employment_income,mn_amt_0,mn_amt_1,mn_amt_2,mn_amt_3,mn_amt_4,mn_amt_5,mn_amt_6
19441.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19501.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19561.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19621.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19681.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19741.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19801.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19861.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19921.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19981.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20042.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20102.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20162.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20222.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20282.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20342.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20402.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20462.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20522.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20582.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20642.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20702.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20762.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20822.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20882.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20942.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21002.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21062.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21122.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21182.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21242.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21302.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21362.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21422.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21482.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21542.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21602.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21662.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21722.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21782.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21842.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21902.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21962.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22022.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22082.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22142.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22202.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22262.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
